student_id,academic_year,attendance_rate,exam_score,distance_km,fee_payment_status,grade_level,gender,dropout,data_source
SYN_0029,2024,1.0,92.78,3.7,Unpaid,Grade 7,Female,0,synthetic
SYN_0030,2024,0.8788,68.16,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0031,2024,0.8193,63.21,3.4,Unpaid,Grade 7,Male,0,synthetic
SYN_0032,2024,0.8542,92.78,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0033,2024,0.8771,72.11,3.7,Unpaid,Grade 7,Female,0,synthetic
SYN_0034,2024,0.9979,23.17,4.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0035,2024,1.0,72.26,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0036,2024,0.5863,0.0,4.1,Unpaid,Grade 7,Female,0,synthetic
SYN_0037,2024,0.9247,20.2,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0038,2024,0.8537,75.96,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0039,2024,0.9568,52.38,3.7,Unpaid,Grade 7,Male,0,synthetic
SYN_0040,2024,0.8806,70.5,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0041,2024,0.9258,92.78,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0042,2024,0.8645,58.89,3.8,Fully Paid,Grade 7,Female,0,synthetic
SYN_0043,2024,1.0,85.67,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0044,2024,0.7228,21.8,3.5,Unpaid,Grade 7,Male,1,synthetic
SYN_0045,2024,1.0,80.1,3.8,Unpaid,Grade 7,Female,0,synthetic
SYN_0046,2024,1.0,19.84,3.9,Unpaid,Grade 7,Female,0,synthetic
SYN_0047,2024,0.9472,68.59,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0048,2024,0.9769,81.23,5.0,Unpaid,Grade 7,Male,0,synthetic
SYN_0049,2024,1.0,80.62,3.3,Unpaid,Grade 7,Male,0,synthetic
SYN_0050,2024,0.7301,73.33,3.6,Fully Paid,Grade 7,Female,0,synthetic
SYN_0051,2024,0.0,75.68,2.0,Unpaid,Grade 7,Female,1,synthetic
SYN_0052,2024,1.0,92.78,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0053,2024,0.8567,10.48,2.4,Unpaid,Grade 7,Male,0,synthetic
SYN_0054,2024,0.8083,4.07,3.7,Unpaid,Grade 7,Female,0,synthetic
SYN_0055,2024,0.9834,35.28,4.1,Unpaid,Grade 7,Female,1,synthetic
SYN_0056,2024,0.9518,47.77,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0057,2024,0.9176,52.54,4.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0058,2024,0.8688,28.09,2.2,Unpaid,Grade 7,Male,0,synthetic
SYN_0059,2024,1.0,69.15,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0060,2024,0.8985,49.71,3.9,Unpaid,Grade 7,Male,0,synthetic
SYN_0061,2024,0.9792,26.63,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0062,2024,0.0,85.81,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0063,2024,0.9032,13.97,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0064,2024,0.9404,92.78,3.5,Unpaid,Grade 7,Female,1,synthetic
SYN_0065,2024,0.7885,0.0,3.4,Unpaid,Grade 7,Male,1,synthetic
SYN_0066,2024,1.0,88.52,2.0,Unpaid,Grade 7,Female,1,synthetic
SYN_0067,2024,1.0,27.88,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0068,2024,1.0,44.37,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0069,2024,0.8972,14.56,3.4,Unpaid,Grade 7,Male,0,synthetic
SYN_0070,2024,0.964,92.78,3.3,Unpaid,Grade 7,Female,0,synthetic
SYN_0071,2024,0.3881,85.02,2.1,Unpaid,Grade 7,Male,0,synthetic
SYN_0072,2024,1.0,43.52,3.5,Fully Paid,Grade 7,Male,0,synthetic
SYN_0073,2024,0.9417,92.78,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0074,2024,0.489,61.74,3.6,Unpaid,Grade 7,Female,1,synthetic
SYN_0075,2024,0.2221,82.64,2.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0076,2024,0.9882,92.78,3.4,Unpaid,Grade 7,Male,0,synthetic
SYN_0077,2024,1.0,59.29,4.2,Unpaid,Grade 7,Male,0,synthetic
SYN_0078,2024,0.7647,28.46,2.7,Fully Paid,Grade 7,Female,0,synthetic
SYN_0079,2024,1.0,46.82,4.0,Unpaid,Grade 7,Male,0,synthetic
SYN_0080,2024,1.0,49.49,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0081,2024,0.8489,61.21,3.4,Fully Paid,Grade 7,Female,1,synthetic
SYN_0082,2024,0.9774,65.81,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0083,2024,0.6255,20.78,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0084,2024,0.5264,47.34,2.0,Unpaid,Grade 7,Male,0,synthetic
SYN_0085,2024,0.8906,35.9,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0086,2024,0.8363,59.79,3.4,Unpaid,Grade 7,Female,1,synthetic
SYN_0087,2024,0.6724,39.25,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0088,2024,1.0,21.42,3.7,Unpaid,Grade 7,Female,0,synthetic
SYN_0089,2024,,73.47,3.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0090,2024,0.0755,15.97,3.5,Unpaid,Grade 7,Female,1,synthetic
SYN_0091,2024,0.9046,48.89,2.8,Unpaid,Grade 7,Female,0,synthetic
SYN_0092,2024,1.0,92.78,5.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0093,2024,0.9202,92.77,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0094,2024,0.9061,42.98,3.9,Unpaid,Grade 7,Male,0,synthetic
SYN_0095,2024,0.9797,16.78,3.7,Unpaid,Grade 7,Male,1,synthetic
SYN_0096,2024,0.439,77.89,3.7,Unpaid,Grade 7,Female,0,synthetic
SYN_0097,2024,0.9814,42.32,4.1,Unpaid,Grade 7,Female,0,synthetic
SYN_0098,2024,0.98,36.32,3.7,Unpaid,Grade 7,Male,0,synthetic
SYN_0099,2024,0.7757,76.12,2.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0100,2024,0.6397,56.27,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0101,2024,,41.5,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0102,2024,0.9708,0.0,5.0,Fully Paid,Grade 7,Male,0,synthetic
SYN_0103,2024,0.23,43.46,3.5,Fully Paid,Grade 7,Female,0,synthetic
SYN_0104,2024,1.0,92.78,5.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0105,2024,0.4404,59.45,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0106,2024,1.0,,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0107,2024,1.0,0.0,3.4,Unpaid,Grade 7,Male,0,synthetic
SYN_0108,2024,0.9501,80.51,2.0,Unpaid,Grade 7,Male,1,synthetic
SYN_0109,2024,0.759,57.67,3.7,Unpaid,Grade 7,Male,0,synthetic
SYN_0110,2024,0.7,37.09,3.7,Unpaid,Grade 7,Female,0,synthetic
SYN_0111,2024,1.0,83.82,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0112,2024,1.0,0.58,3.5,Unpaid,Grade 7,Male,1,synthetic
SYN_0113,2024,0.9681,9.94,2.0,Unpaid,Grade 7,Male,0,synthetic
SYN_0114,2024,0.0508,92.78,3.3,Unpaid,Grade 7,Female,0,synthetic
SYN_0115,2024,0.9997,92.78,2.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0116,2024,0.9493,92.78,4.9,Unpaid,Grade 7,Female,0,synthetic
SYN_0117,2024,0.868,90.38,3.5,Unpaid,Grade 7,Female,1,synthetic
SYN_0118,2024,0.8474,20.35,3.8,Unpaid,Grade 7,Female,0,synthetic
SYN_0119,2024,0.7321,59.96,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0120,2024,1.0,92.78,3.4,Unpaid,Grade 7,Male,0,synthetic
SYN_0121,2024,0.6372,26.69,2.3,Unpaid,Grade 7,Male,0,synthetic
SYN_0122,2024,0.906,20.69,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0123,2024,1.0,66.76,3.5,Unpaid,Grade 7,Male,1,synthetic
SYN_0124,2024,0.9345,37.15,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0125,2024,0.5974,32.59,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0126,2024,0.3753,64.77,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0127,2024,0.2026,41.2,3.4,Unpaid,Grade 7,Male,1,synthetic
SYN_0128,2024,0.8762,67.18,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0129,2024,1.0,64.61,2.0,Fully Paid,Grade 7,Female,0,synthetic
SYN_0130,2024,1.0,92.78,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0131,2024,1.0,60.59,3.7,Unpaid,Grade 7,Female,0,synthetic
SYN_0132,2024,0.9033,92.78,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0133,2024,1.0,21.28,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0134,2024,0.9475,92.78,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0135,2024,0.0,85.63,3.7,Unpaid,Grade 7,Male,0,synthetic
SYN_0136,2024,0.6723,41.8,3.5,Fully Paid,Grade 7,Female,1,synthetic
SYN_0137,2024,0.9442,36.14,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0138,2024,1.0,27.2,3.7,Unpaid,Grade 7,Female,0,synthetic
SYN_0139,2024,0.8432,52.87,3.4,Unpaid,Grade 7,Male,0,synthetic
SYN_0140,2024,0.5091,25.23,2.0,Unpaid,Grade 7,Male,0,synthetic
SYN_0141,2024,0.0,80.7,4.2,Unpaid,Grade 7,Male,0,synthetic
SYN_0142,2024,0.8705,89.31,3.6,Unpaid,Grade 7,Female,1,synthetic
SYN_0143,2024,0.863,77.28,3.3,Unpaid,Grade 7,Female,0,synthetic
SYN_0144,2024,0.9378,,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0145,2024,0.6697,75.13,2.9,Unpaid,Grade 7,Female,0,synthetic
SYN_0146,2024,,77.88,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0147,2024,0.9145,12.59,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0148,2024,0.7196,66.3,5.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0149,2024,0.9925,41.75,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0150,2024,,0.0,3.4,Unpaid,Grade 7,Male,0,synthetic
SYN_0151,2024,0.8309,26.53,2.0,Unpaid,Grade 7,Male,0,synthetic
SYN_0152,2024,0.7724,25.34,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0153,2024,0.4143,83.17,3.7,Unpaid,Grade 7,Male,1,synthetic
SYN_0154,2024,0.4442,65.25,4.1,Unpaid,Grade 7,Male,0,synthetic
SYN_0155,2024,0.8315,80.51,3.7,Fully Paid,Grade 7,Female,0,synthetic
SYN_0156,2024,0.4395,0.0,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0157,2024,0.8979,82.37,5.0,Fully Paid,Grade 7,Female,0,synthetic
SYN_0158,2024,0.0,0.0,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0159,2024,0.8958,79.78,3.7,Unpaid,Grade 7,Female,0,synthetic
SYN_0160,2024,0.8927,92.78,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0161,2024,0.9025,61.77,4.1,Unpaid,Grade 7,Female,0,synthetic
SYN_0162,2024,0.7253,85.48,5.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0163,2024,1.0,0.0,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0164,2024,1.0,76.03,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0165,2024,0.9161,9.54,3.4,Unpaid,Grade 7,Male,0,synthetic
SYN_0166,2024,1.0,50.17,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0167,2024,1.0,78.18,3.5,Fully Paid,Grade 7,Female,0,synthetic
SYN_0168,2024,0.8187,21.21,3.4,Unpaid,Grade 7,Male,1,synthetic
SYN_0169,2024,0.955,46.25,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0170,2024,0.9608,11.2,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0171,2024,0.1226,21.68,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0172,2024,0.9184,81.09,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0173,2024,0.8855,92.78,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0174,2024,0.8687,0.0,3.7,Unpaid,Grade 7,Male,0,synthetic
SYN_0175,2024,1.0,45.08,2.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0176,2024,0.3087,16.99,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0177,2024,0.8927,78.72,4.2,Unpaid,Grade 7,Female,0,synthetic
SYN_0178,2024,0.9955,49.24,3.9,Unpaid,Grade 7,Female,0,synthetic
SYN_0179,2024,1.0,75.51,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0180,2024,,48.62,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0181,2024,0.9693,31.77,5.0,Unpaid,Grade 7,Male,0,synthetic
SYN_0182,2024,,37.62,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0183,2024,0.0304,29.82,3.4,Unpaid,Grade 7,Male,1,synthetic
SYN_0184,2024,1.0,2.9,3.5,Unpaid,Grade 7,Male,1,synthetic
SYN_0185,2024,1.0,44.6,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0186,2024,0.9196,39.99,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0187,2024,1.0,72.76,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0188,2024,0.9258,67.41,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0189,2024,0.124,63.84,3.5,Unpaid,Grade 7,Male,1,synthetic
SYN_0190,2024,0.8593,92.78,2.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0191,2024,1.0,23.08,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0192,2024,0.8978,92.78,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0193,2024,0.9029,59.7,3.3,Unpaid,Grade 7,Female,0,synthetic
SYN_0194,2024,0.0,92.78,5.0,Unpaid,Grade 7,Male,1,synthetic
SYN_0195,2024,0.9451,37.49,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0196,2024,0.3219,4.27,2.9,Unpaid,Grade 7,Female,0,synthetic
SYN_0197,2024,0.9189,40.13,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0198,2024,0.9799,92.78,3.4,Fully Paid,Grade 7,Female,0,synthetic
SYN_0199,2024,0.1508,80.72,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0200,2024,0.9962,77.59,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0201,2024,0.9642,43.79,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0202,2024,0.9317,28.32,4.3,Unpaid,Grade 7,Female,0,synthetic
SYN_0203,2024,,56.16,3.4,Unpaid,Grade 7,Female,1,synthetic
SYN_0204,2024,0.8613,67.14,3.7,Unpaid,Grade 7,Female,0,synthetic
SYN_0205,2024,1.0,85.6,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0206,2024,0.9413,14.84,3.4,Unpaid,Grade 7,Male,0,synthetic
SYN_0207,2024,0.6993,92.78,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0208,2024,1.0,8.99,3.0,Unpaid,Grade 7,Male,0,synthetic
SYN_0209,2024,1.0,30.54,4.0,Unpaid,Grade 7,Female,1,synthetic
SYN_0210,2024,0.4433,0.0,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0211,2024,0.932,0.0,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0212,2024,1.0,56.32,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0213,2024,0.8704,76.82,3.6,Unpaid,Grade 7,Female,1,synthetic
SYN_0214,2024,0.9571,46.44,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0215,2024,0.9177,72.34,3.9,Unpaid,Grade 7,Female,0,synthetic
SYN_0216,2024,1.0,30.64,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0217,2024,1.0,41.34,2.0,Fully Paid,Grade 7,Female,0,synthetic
SYN_0218,2024,0.9201,63.56,3.3,Unpaid,Grade 7,Male,0,synthetic
SYN_0219,2024,0.8507,38.31,3.8,Unpaid,Grade 7,Male,0,synthetic
SYN_0220,2024,0.8043,84.94,3.4,Unpaid,Grade 7,Male,0,synthetic
SYN_0221,2024,0.0498,56.77,2.2,Unpaid,Grade 7,Female,0,synthetic
SYN_0222,2024,1.0,92.78,3.5,Fully Paid,Grade 7,Female,0,synthetic
SYN_0223,2024,0.9259,79.88,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0224,2024,1.0,75.65,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0225,2024,1.0,86.91,5.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0226,2024,1.0,15.39,4.0,Fully Paid,Grade 7,Female,0,synthetic
SYN_0227,2024,0.873,15.0,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0228,2024,1.0,20.47,3.7,Unpaid,Grade 7,Female,0,synthetic
SYN_0229,2024,0.3512,41.49,3.6,Unpaid,Grade 7,Female,1,synthetic
SYN_0230,2024,0.9423,66.14,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0231,2024,0.8211,17.05,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0232,2024,0.9261,10.92,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0233,2024,1.0,15.12,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0234,2024,1.0,85.08,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0235,2024,0.9396,61.79,5.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0236,2024,0.3349,78.54,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0237,2024,0.181,32.13,2.6,Fully Paid,Grade 7,Male,0,synthetic
SYN_0238,2024,0.9903,92.78,3.7,Fully Paid,Grade 7,Female,0,synthetic
SYN_0239,2024,0.8366,92.78,4.1,Unpaid,Grade 7,Male,0,synthetic
SYN_0240,2024,0.8503,37.59,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0241,2024,0.9855,44.75,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0242,2024,1.0,9.57,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0243,2024,0.9641,92.78,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0244,2024,0.9891,46.28,3.7,Unpaid,Grade 7,Male,0,synthetic
SYN_0245,2024,0.8631,,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0246,2024,1.0,92.78,3.7,Unpaid,Grade 7,Male,0,synthetic
SYN_0247,2024,0.4172,37.46,4.3,Unpaid,Grade 7,Female,0,synthetic
SYN_0248,2024,0.9764,92.78,4.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0249,2024,1.0,74.28,3.3,Unpaid,Grade 7,Male,0,synthetic
SYN_0250,2024,0.9765,92.78,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0251,2024,1.0,69.35,3.4,Unpaid,Grade 7,Male,0,synthetic
SYN_0252,2024,0.6512,33.97,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0253,2024,1.0,92.78,4.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0254,2024,0.8522,0.0,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0255,2024,0.7641,86.93,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0256,2024,1.0,26.71,3.1,Unpaid,Grade 7,Male,0,synthetic
SYN_0257,2024,0.3156,92.78,3.5,Fully Paid,Grade 7,Female,0,synthetic
SYN_0258,2024,0.9489,7.24,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0259,2024,0.6095,49.38,3.6,Unpaid,Grade 7,Male,1,synthetic
SYN_0260,2024,0.9099,20.81,3.5,Unpaid,Grade 7,Male,1,synthetic
SYN_0261,2024,0.8945,58.43,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0262,2024,1.0,2.75,3.3,Unpaid,Grade 7,Female,0,synthetic
SYN_0263,2024,0.8823,13.98,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0264,2024,0.0,36.14,4.3,Unpaid,Grade 7,Female,0,synthetic
SYN_0265,2024,1.0,0.0,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0266,2024,,47.57,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0267,2024,0.7295,92.78,3.4,Unpaid,Grade 7,Male,1,synthetic
SYN_0268,2024,0.8032,92.78,2.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0269,2024,0.8486,76.16,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0270,2024,1.0,52.06,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0271,2024,0.9972,14.79,3.3,Unpaid,Grade 7,Male,0,synthetic
SYN_0272,2024,1.0,72.97,2.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0273,2024,1.0,75.61,3.7,Unpaid,Grade 7,Male,0,synthetic
SYN_0274,2024,1.0,92.78,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0275,2024,1.0,86.37,2.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0276,2024,0.8991,48.34,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0277,2024,0.2213,24.36,3.8,Unpaid,Grade 7,Male,0,synthetic
SYN_0278,2024,0.9059,83.29,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0279,2024,1.0,70.9,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0280,2024,0.461,0.0,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0281,2024,0.9482,53.78,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0282,2024,0.8827,43.72,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0283,2024,0.8818,45.45,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0284,2024,0.8136,18.8,3.3,Unpaid,Grade 7,Female,1,synthetic
SYN_0285,2024,0.9435,45.22,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0286,2024,0.4776,72.98,3.6,Unpaid,Grade 7,Female,1,synthetic
SYN_0287,2024,,83.63,4.2,Unpaid,Grade 7,Male,0,synthetic
SYN_0288,2024,0.9045,23.19,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0289,2024,1.0,92.0,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0290,2024,1.0,42.99,3.4,Fully Paid,Grade 7,Female,0,synthetic
SYN_0291,2024,0.0,92.78,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0292,2024,0.6739,92.17,4.0,Unpaid,Grade 7,Female,0,synthetic
SYN_0293,2024,0.6855,54.23,4.1,Unpaid,Grade 7,Male,0,synthetic
SYN_0294,2024,0.5798,92.78,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0295,2024,0.0417,0.0,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0296,2024,0.9196,30.7,5.0,Unpaid,Grade 7,Male,0,synthetic
SYN_0297,2024,0.7976,87.64,3.4,Unpaid,Grade 7,Female,0,synthetic
SYN_0298,2024,0.9749,44.12,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0299,2024,0.8998,43.58,3.6,Unpaid,Grade 7,Male,0,synthetic
SYN_0300,2024,1.0,91.25,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0301,2024,0.9975,0.0,3.5,Unpaid,Grade 7,Male,0,synthetic
SYN_0302,2024,0.9878,24.02,4.2,Unpaid,Grade 7,Female,0,synthetic
SYN_0303,2024,0.8802,53.89,3.5,Unpaid,Grade 7,Female,1,synthetic
SYN_0304,2024,,0.0,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0305,2024,0.033,55.98,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0306,2024,,15.53,4.1,Fully Paid,Grade 7,Female,0,synthetic
SYN_0307,2024,0.9174,82.69,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0308,2024,0.6265,92.78,3.6,Unpaid,Grade 7,Female,0,synthetic
SYN_0309,2024,0.9675,60.24,3.5,Unpaid,Grade 7,Female,0,synthetic
SYN_0310,2024,0.3817,85.22,3.5,Unpaid,Grade 7,Female,0,synthetic
