student_id,academic_year,attendance_rate,exam_score,fee_payment_status,distance_km,grade_level,gender,dropout
S42,2026,0.9608,0.8667,Unpaid,3.5,Grade 9,Female,0
S43,2024,0.9444,0.4678,Unpaid,3.5,Grade 7,Female,0
S43,2025,1,0.4711,Unpaid,3.5,Grade 8,Female,0
S43,2026,0.6389,0.48,Unpaid,3.5,Grade 9,Female,1
S44,2024,0.9306,0.4122,Unpaid,3.5,Grade 7,Female,0
S44,2025,1,0.4822,Unpaid,3.5,Grade 8,Female,0
S44,2026,0.9608,0.4667,Unpaid,3.5,Grade 9,Female,0
S45,2024,1,0.9278,Unpaid,5,Grade 7,Female,0
S45,2025,1,0.9356,Unpaid,5,Grade 8,Female,0
S45,2026,0.9804,0.91,Unpaid,5,Grade 9,Female,0
S46,2024,1,0.6344,Unpaid,3.5,Grade 7,Female,0
S46,2025,1,0.6233,Unpaid,3.5,Grade 8,Female,0
S46,2026,0.9804,0.6344,Unpaid,3.5,Grade 9,Female,0
S47,2024,1,0.7256,Unpaid,3.5,Grade 7,Female,0
S47,2025,1,0.7144,Unpaid,3.5,Grade 8,Female,0
S47,2026,0.9608,0.7033,Unpaid,3.5,Grade 9,Female,0
S48,2024,0.8056,0.4789,Unpaid,3.5,Grade 7,Female,0
S48,2025,1,0.4689,Unpaid,3.5,Grade 8,Female,0
S48,2026,0.9608,0.4678,Unpaid,3.5,Grade 9,Female,0
S49,2024,1,0.5989,Unpaid,3.5,Grade 7,Female,0
S49,2025,1,0.7444,Unpaid,3.5,Grade 8,Female,0
S49,2026,0.9804,0.5722,Unpaid,3.5,Grade 9,Female,0
S50,2024,1,0.5144,Unpaid,3.5,Grade 7,Female,0
S50,2025,1,0.5033,Unpaid,3.5,Grade 8,Female,0
S50,2026,0.9608,0.5133,Unpaid,3.5,Grade 9,Female,0
S51,2024,0.9722,0.5344,Unpaid,2,Grade 7,Male,0
S51,2025,1,0.5244,Unpaid,2,Grade 8,Male,0
S51,2026,0.9608,0.5233,Unpaid,2,Grade 9,Male,0
S52,2024,0.9861,0.6944,Unpaid,3.5,Grade 7,Male,0
S52,2025,1,0.6967,Unpaid,3.5,Grade 8,Male,0
S52,2026,0.9608,0.7011,Unpaid,3.5,Grade 9,Male,0
S53,2024,1,0.6022,Unpaid,2,Grade 7,Male,0
S53,2025,0.9804,0.5989,Unpaid,2,Grade 8,Male,0
S53,2026,0.9608,0.5789,Unpaid,2,Grade 9,Male,0
S54,2024,0.9306,0.5311,Unpaid,3.5,Grade 7,Male,0
S54,2025,0.9412,0.5167,Unpaid,3.5,Grade 8,Male,0
S54,2026,0.9216,0.5356,Unpaid,3.5,Grade 9,Male,0
S55,2024,0.9722,0.5011,Unpaid,3.5,Grade 7,Male,0
S55,2025,0.9608,0.49,Unpaid,3.5,Grade 8,Male,0
S55,2026,0.9608,0.5122,Unpaid,3.5,Grade 9,Male,0
S56,2024,1,0.6589,Unpaid,3.5,Grade 7,Male,0
S56,2025,0.9412,0.6433,Unpaid,3.5,Grade 8,Male,0
S56,2026,0.9608,0.6678,Unpaid,3.5,Grade 9,Male,0
S57,2024,0.9444,0.6911,Unpaid,5,Grade 7,Male,0
S57,2025,0.9608,0.7056,Unpaid,5,Grade 8,Male,0
S57,2026,0.6389,0.4878,Unpaid,5,Grade 9,Male,1
S58,2024,0.4306,0.2411,Unpaid,3.5,Grade 7,Male,1
S59,2024,0.3056,0.3433,Unpaid,3.5,Grade 7,Male,0
S59,2025,0,,Unpaid,3.5,Grade 8,Male,0
S59,2026,0.9608,0.4756,Unpaid,3.5,Grade 9,Male,0
S60,2024,0.9722,0.5856,Unpaid,3.5,Grade 7,Male,0
S60,2025,0.9216,0.5856,Unpaid,3.5,Grade 8,Male,0
S60,2026,0.9608,0.5711,Unpaid,3.5,Grade 9,Male,0
S61,2024,0.9097,0.4467,Unpaid,2,Grade 7,Male,0
S61,2025,0.902,0.4678,Unpaid,2,Grade 8,Male,0
S61,2026,0.6718,0.4567,Unpaid,2,Grade 9,Male,0
S62,2024,0.9825,0.4544,Unpaid,3.5,Grade 7,Male,0
S62,2025,0.902,0.4722,Unpaid,3.5,Grade 8,Male,0
S62,2026,0.6667,0.4556,Unpaid,3.5,Grade 9,Male,0
S63,2024,1,0.4789,Unpaid,2,Grade 7,Female,0
S63,2025,0.902,0.4856,Unpaid,2,Grade 8,Female,0
S63,2026,0.6882,0.4756,Unpaid,2,Grade 9,Female,0
S64,2024,0.3684,0.9122,Unpaid,3.5,Grade 7,Female,1
S65,2024,0,0.3489,Unpaid,3.5,Grade 7,Female,1
S66,2024,1,0.5967,Unpaid,3.5,Grade 7,Female,0
S66,2025,0.8824,0.5822,Unpaid,3.5,Grade 8,Female,0
S66,2026,0.6882,0.5756,Unpaid,3.5,Grade 9,Female,0
S67,2024,0,,Unpaid,3.5,Grade 7,Female,0
S67,2025,0,,Unpaid,3.5,Grade 8,Female,0
S67,2026,0.6667,0,Unpaid,3.5,Grade 9,Female,0
S68,2024,0.9649,0.5989,Unpaid,3.5,Grade 7,Female,0
S68,2025,0.8824,0.5822,Unpaid,3.5,Grade 8,Female,0
S68,2026,0.6882,0.6022,Unpaid,3.5,Grade 9,Female,0
S69,2024,1,0.6533,Unpaid,3.5,Grade 7,Female,0
S69,2025,0.902,0.6433,Unpaid,3.5,Grade 8,Female,0
S69,2026,0.6667,0.6389,Unpaid,3.5,Grade 9,Female,0
S70,2024,0.9474,0.5589,Unpaid,3.5,Grade 7,Female,0
S70,2025,0.8627,0.5211,Unpaid,3.5,Grade 8,Female,0
S70,2026,0.6882,0.5233,Unpaid,3.5,Grade 9,Female,0
S71,2024,0.9825,0.4567,Unpaid,3.5,Grade 7,Female,0
S71,2025,0.8039,0.4678,Unpaid,3.5,Grade 8,Female,0
S71,2026,0.6667,0.4689,Unpaid,3.5,Grade 9,Female,0
S72,2024,1,0.6278,Unpaid,3.5,Grade 7,Female,0
S72,2025,0.8235,0.6156,Unpaid,3.5,Grade 8,Female,0
S72,2026,0.6667,0.6178,Unpaid,3.5,Grade 9,Female,0
S73,2024,0.9649,0.6411,Unpaid,3.5,Grade 7,Female,0
S73,2025,0.8235,0.6267,Unpaid,3.5,Grade 8,Female,0
S73,2026,0.6667,0.6378,Unpaid,3.5,Grade 9,Female,0
S74,2024,0.9825,0.4756,Unpaid,3.5,Grade 7,Female,0
S74,2025,0.8824,0.4711,Unpaid,3.5,Grade 8,Female,0
S74,2026,0.6667,0.4711,Unpaid,3.5,Grade 9,Female,0
S75,2024,1,0.9167,Unpaid,3.5,Grade 7,Female,0
S75,2025,0.8627,0.9244,Unpaid,3.5,Grade 8,Female,0
S75,2026,0.6882,0.91,Unpaid,3.5,Grade 9,Female,0
S76,2024,1,0.6467,Unpaid,3.5,Grade 7,Female,0
S76,2025,0.7843,0.6344,Unpaid,3.5,Grade 8,Female,0
S76,2026,0.6667,0.6378,Unpaid,3.5,Grade 9,Female,0
S77,2024,1,0.55,Unpaid,3.5,Grade 7,Female,0
S77,2025,0.8235,0.5433,Unpaid,3.5,Grade 8,Female,0
S77,2026,0.6667,0.5122,Unpaid,3.5,Grade 9,Female,0
S78,2024,1,0.5856,Unpaid,3.5,Grade 7,Female,0
S78,2025,0.8235,0.5978,Unpaid,3.5,Grade 8,Female,0
S78,2026,0.6667,0.6011,Unpaid,3.5,Grade 9,Female,0
S79,2024,1,0.7078,Unpaid,3.5,Grade 7,Female,0
S79,2025,0.8235,0.7433,Unpaid,3.5,Grade 8,Female,0
S79,2026,0.6667,0.76,Unpaid,3.5,Grade 9,Female,0
S80,2024,0.9825,0.5989,Unpaid,3.5,Grade 7,Female,0
S80,2025,0.8235,0.6111,Unpaid,3.5,Grade 8,Female,0
S80,2026,0.6667,0.6156,Unpaid,3.5,Grade 9,Female,0
S81,2024,0.5965,0.3567,Unpaid,3.5,Grade 7,Female,0
S81,2025,1,0.3711,Unpaid,3.5,Grade 8,Female,0
S81,2026,0.6774,0.48,Partially Paid,3.5,Grade 9,Female,0
S82,2024,1,0.9033,Unpaid,3.5,Grade 7,Female,0
S82,2025,0.9677,0.9222,Unpaid,3.5,Grade 8,Female,0
S82,2026,0.6774,0.9033,Partially Paid,3.5,Grade 9,Female,0
S83,2024,1,0.5856,Unpaid,3.5,Grade 7,Female,0
S83,2025,0.9677,0.5867,Unpaid,3.5,Grade 8,Female,0
S83,2026,0.6774,0.6044,Partially Paid,3.5,Grade 9,Female,0
S84,2024,0.5088,0.3522,Unpaid,3.5,Grade 7,Female,1
S85,2024,0.5965,0.4878,Unpaid,3.5,Grade 7,Female,0
S85,2025,0.9677,0.4878,Unpaid,3.5,Grade 8,Female,0
S85,2026,0.6774,0.4567,Partially Paid,3.5,Grade 9,Female,0
S86,2024,1,0.6133,Unpaid,3.5,Grade 7,Female,0
S86,2025,0.9677,0.5867,Unpaid,3.5,Grade 8,Female,0
S86,2026,0.6774,0.5867,Partially Paid,3.5,Grade 9,Female,0
S87,2024,0.9825,0.6178,Unpaid,3.5,Grade 7,Female,0
S87,2025,0.9677,0.5789,Unpaid,3.5,Grade 8,Female,0
S87,2026,0.6774,0.5744,Partially Paid,3.5,Grade 9,Female,0
S88,2024,0.7193,0.4133,Unpaid,3.5,Grade 7,Female,0
S88,2025,0.5161,0.3278,Unpaid,3.5,Grade 8,Female,1
S89,2024,1,0.6144,Unpaid,3.5,Grade 7,Female,0
S89,2025,0.9032,0.6444,Unpaid,3.5,Grade 8,Female,0
S89,2026,0.6129,0.5789,Partially Paid,3.5,Grade 9,Female,0
S90,2024,0.9123,0.7144,Unpaid,3.5,Grade 7,Female,0
S90,2025,0.7903,0.6978,Unpaid,3.5,Grade 8,Female,0
S90,2026,0.6129,0.6956,Partially Paid,3.5,Grade 9,Female,0
S91,2024,1,0.8344,Unpaid,2,Grade 7,Female,0
S91,2025,0.9841,0.8267,Unpaid,2,Grade 8,Female,0
S91,2026,0.6667,0.8456,Unpaid,2,Grade 9,Female,0
S92,2024,1,0.7278,Unpaid,2,Grade 7,Female,0
S92,2025,0.9841,0.7056,Unpaid,2,Grade 8,Female,0
S92,2026,0.6667,0.7233,Unpaid,2,Grade 9,Female,0
S93,2024,1,0.6378,Unpaid,3.5,Grade 7,Female,0
S93,2025,0.9841,0.6233,Unpaid,3.5,Grade 8,Female,0
S93,2026,0.6667,0.6133,Unpaid,3.5,Grade 9,Female,0
S94,2024,0,0,Unpaid,3.5,Grade 7,Female,1
S95,2024,0.4035,0.2422,Unpaid,3.5,Grade 7,Female,0
S95,2025,0,,Unpaid,3.5,Grade 8,Female,0
S95,2026,0.6667,0,Unpaid,3.5,Grade 9,Female,0
S96,2024,0.9649,0.5878,Unpaid,2,Grade 7,Female,0
S96,2025,0.9841,0.5978,Unpaid,2,Grade 8,Female,0
S96,2026,0.6667,0.5978,Unpaid,2,Grade 9,Female,0
S97,2024,0.5439,0.4811,Unpaid,3.5,Grade 7,Female,0
S97,2025,0.5238,0.5178,Unpaid,3.5,Grade 8,Female,0
S97,2026,0,,Unpaid,3.5,Grade 9,Female,0
S98,2024,0.9825,0.4856,Unpaid,3.5,Grade 7,Female,0
S98,2025,0.9524,0.5311,Unpaid,3.5,Grade 8,Female,0
S98,2026,0.619,0.4867,Unpaid,3.5,Grade 9,Female,0
S99,2024,1,0.53,Unpaid,3.5,Grade 7,Female,0
S99,2025,0.9841,0.5244,Unpaid,3.5,Grade 8,Female,0
S99,2026,0.6349,0.5122,Unpaid,3.5,Grade 9,Female,0
S100,2024,0.9474,0.9133,Unpaid,3.5,Grade 7,Female,0
S100,2025,0.9841,0.9344,Unpaid,3.5,Grade 8,Female,0
S100,2026,0.6508,0.9022,Unpaid,3.5,Grade 9,Female,0
S101,2024,1,0.8356,Fully Paid,2,Grade 7,Female,0
S101,2025,1,0.8133,Fully Paid,2,Grade 8,Female,0
S101,2026,0.9677,0.8067,Unpaid,2,Grade 9,Female,0
S102,2024,1,0.4756,Fully Paid,2,Grade 7,Female,0
S102,2025,1,0.49,Fully Paid,2,Grade 8,Female,0
S102,2026,0.9839,0.4789,Unpaid,2,Grade 9,Female,0
S103,2024,0.9649,0.4789,Fully Paid,3.5,Grade 7,Female,0
S103,2025,1,0.4633,Fully Paid,3.5,Grade 8,Female,0
S103,2026,0.9839,0.4878,Unpaid,3.5,Grade 9,Female,0
S104,2024,0.8947,0.7211,Fully Paid,2,Grade 7,Female,0
S104,2025,1,0.6878,Fully Paid,2,Grade 8,Female,0
S104,2026,0.9839,0.6856,Unpaid,2,Grade 9,Female,0
S105,2024,0.6667,0.62,Fully Paid,3.5,Grade 7,Female,0
S105,2025,1,0.59,Fully Paid,3.5,Grade 8,Female,0
S105,2026,0.9677,0.6011,Unpaid,3.5,Grade 9,Female,0
S106,2024,0.9722,67.75,Unpaid,4,Grade 7,Male,0
S107,2024,0.9028,50.75,Unpaid,4,Grade 7,Male,0
S108,2024,1,55.12,Unpaid,4,Grade 7,Male,0
S109,2024,0.9167,49.88,Unpaid,4,Grade 7,Male,0
S110,2024,0.9583,54,Unpaid,4,Grade 7,Male,0
S111,2024,0.8611,39.75,Unpaid,4,Grade 7,Male,0
S112,2024,0.5556,24.25,Unpaid,4,Grade 7,Male,1
S113,2024,0.5493,27.12,Unpaid,4,Grade 7,Male,1
S114,2024,0.9583,65,Unpaid,2,Grade 7,Male,0
S115,2024,0.4583,24,Unpaid,2,Grade 7,Male,1
S116,2024,0.2361,41.33,Unpaid,2,Grade 7,Male,0
S116,2026,,45.38,Unpaid,2,Grade 9,Male,0
S117,2024,0.6528,38.89,Unpaid,2,Grade 7,Male,0
S117,2026,0.5333,33.12,Unpaid,2,Grade 9,Male,0
S118,2024,0.7778,40.78,Unpaid,3.5,Grade 7,Male,0
S118,2026,0.8667,53,Unpaid,3.5,Grade 9,Male,0
S119,2024,0.9444,39.11,Unpaid,3.5,Grade 7,Male,0
S119,2026,0.8667,35.38,Unpaid,2,Grade 9,Male,0
S120,2024,0.7778,55,Unpaid,2,Grade 7,Male,0
S120,2026,0.85,51.75,Unpaid,2,Grade 9,Male,0
S121,2024,0.7917,62.67,Unpaid,3.5,Grade 7,Male,0
S121,2026,0.8667,61.62,Unpaid,3.5,Grade 9,Male,0
S122,2024,0.9306,39.33,Unpaid,3.5,Grade 7,Male,1
S122,2026,0.8167,29.12,Unpaid,2,Grade 9,Male,1
S123,2024,0.9286,37.89,Unpaid,2,Grade 7,Male,0
S123,2026,0.9167,34.38,Unpaid,2,Grade 9,Male,0
S124,2024,0.9722,62.78,Unpaid,3.5,Grade 7,Male,0
S124,2026,0.95,69.75,Unpaid,3.5,Grade 9,Male,0
S125,2024,0.7857,47.89,Unpaid,3.5,Grade 7,Male,0
S125,2026,0.85,49.88,Unpaid,3.5,Grade 9,Male,0
S126,2024,0.8611,60.86,Unpaid,3.5,Grade 7,Male,0
S126,2026,0.9167,61.17,Unpaid,3.5,Grade 9,Male,0
S127,2024,0.3036,10.56,Unpaid,3.5,Grade 7,Male,1
S128,2024,0.9167,63.29,Unpaid,3.5,Grade 7,Female,0
S128,2026,0.8667,64.5,Unpaid,3.5,Grade 9,Female,0
S129,2024,0.9583,80,Unpaid,3.5,Grade 7,Female,0
S129,2026,0.8833,64.88,Unpaid,3.5,Grade 9,Female,0
S130,2024,0.9444,82.14,Unpaid,3.5,Grade 7,Female,0
S130,2026,0.8833,74.25,Unpaid,3.5,Grade 9,Female,0
S131,2024,0.9167,88.14,Unpaid,3.5,Grade 7,Female,0
S131,2026,0.9,44.75,Unpaid,3.5,Grade 9,Female,0
S132,2024,0.9722,40.56,Unpaid,3.5,Grade 7,Female,0
S132,2026,0.8833,64.66,Unpaid,3.5,Grade 9,Female,0
S133,2024,0.9306,73.22,Unpaid,3.5,Grade 7,Female,0
S133,2026,0.6667,26.75,Unpaid,3.5,Grade 9,Female,0
S134,2024,0.4722,30.1,Unpaid,3.5,Grade 7,Female,1
S135,2024,0.9722,66,Unpaid,3.5,Grade 7,Female,0
S135,2026,0.85,,Unpaid,3.5,Grade 9,Female,0
S136,2024,0.9444,63.22,Unpaid,3.5,Grade 7,Female,0
S136,2026,0.8667,,Unpaid,3.5,Grade 9,Female,0
S137,2024,0.9583,55.89,Unpaid,5,Grade 7,Female,0
S137,2026,0.8833,,Unpaid,5,Grade 9,Female,0
S138,2024,0.9722,47.22,Unpaid,5,Grade 7,Female,0
S138,2026,0.8667,,Unpaid,3.5,Grade 9,Female,0
S139,2024,0.9583,49.67,Unpaid,3.5,Grade 7,Female,0
S139,2026,0.8833,,Unpaid,3.5,Grade 9,Female,0
S140,2024,0.8889,54.56,Unpaid,3.5,Grade 7,Female,0
S140,2026,0.9,,Unpaid,3.5,Grade 9,Female,0
S141,2024,0.5417,35.22,Unpaid,3.5,Grade 7,Female,1
S142,2024,0.1944,,Unpaid,3.5,Grade 7,Female,1
S143,2024,0.9722,60.11,Unpaid,3.5,Grade 7,Female,0
S143,2026,0.5,,Unpaid,3.5,Grade 9,Female,0
S144,2024,0.9861,61.44,Unpaid,3.5,Grade 7,Female,0
S144,2026,0.85,,Unpaid,3.5,Grade 9,Female,0
S145,2024,0.9722,51.67,Unpaid,3.5,Grade 7,Female,0
S145,2026,0.8667,,Unpaid,3.5,Grade 9,Female,0
S146,2024,0.8393,76.29,Unpaid,3.5,Grade 7,Female,0
S146,2026,0.8167,47.62,Unpaid,3.5,Grade 9,Female,0
S147,2024,0.8571,58.57,Unpaid,2,Grade 7,Female,0
S147,2026,0.8333,51.5,Unpaid,2,Grade 9,Female,0
S148,2024,0.7143,53.29,Unpaid,2,Grade 7,Female,0
S148,2026,0.7333,41.62,Unpaid,3.5,Grade 9,Female,0
S149,2024,0.5714,74.71,Unpaid,3.5,Grade 7,Female,0
S149,2026,0.7667,52.62,Unpaid,3.5,Grade 9,Female,0
S150,2024,0.4643,61,Unpaid,2,Grade 7,Female,0
S150,2026,0.7833,52.12,Unpaid,2,Grade 9,Female,0
S151,2024,0.375,89.57,Unpaid,2,Grade 7,Female,1
S152,2024,0.8929,57,Unpaid,3.5,Grade 7,Male,0
S152,2026,0.7167,52.12,Unpaid,3.5,Grade 9,Male,0
S153,2024,0.9107,58.67,Unpaid,3.5,Grade 7,Male,0
S153,2026,0.7667,49,Unpaid,3.5,Grade 9,Male,0
S154,2024,0.4286,47.44,Unpaid,3.5,Grade 7,Male,1
S155,2024,0.9643,59.33,Unpaid,3.5,Grade 7,Male,0
S156,2024,0.9643,60,Unpaid,3.5,Grade 7,Male,0
S156,2026,0.9,59.25,Unpaid,3.5,Grade 9,Male,0
S157,2024,0.875,44,Unpaid,3.5,Grade 7,Male,0
S157,2026,0.8167,44.88,Unpaid,5,Grade 9,Male,0
S158,2024,1,47.78,Unpaid,5,Grade 7,Male,0
S158,2026,0.9667,49.62,Unpaid,5,Grade 9,Male,0
S159,2024,0.875,43.22,Unpaid,3.5,Grade 7,Male,0
S159,2026,0.9,45.88,Unpaid,3.5,Grade 9,Male,0
S160,2024,0.9643,47,Unpaid,3.5,Grade 7,Male,0
S160,2026,0.9333,50.38,Unpaid,3.5,Grade 9,Male,0
S161,2024,0.875,37.56,Unpaid,3.5,Grade 7,Male,0
S161,2026,0.8333,47.75,Unpaid,3.5,Grade 9,Male,0
S162,2024,0.8393,27.22,Unpaid,3.5,Grade 7,Male,0
S162,2026,0.8667,31.62,Unpaid,2,Grade 9,Male,0
S163,2024,0.7857,50.44,Unpaid,2,Grade 7,Male,0
S163,2026,0.8167,40.12,Unpaid,2,Grade 9,Male,0
S164,2024,0.8036,57.78,Unpaid,3.5,Grade 7,Male,0
S164,2026,0.9833,65.88,Unpaid,3.5,Grade 9,Male,0
S165,2024,0.7321,24.11,Unpaid,3.5,Grade 7,Male,0
S165,2026,0.65,27.25,Unpaid,2,Grade 9,Male,0
S166,2024,0.7679,41.33,Unpaid,2,Grade 7,Male,0
